customerID,gender,Is_Senior,Has_Partner,Has_Dependents,tenure,Tenure_Band,Tenure_Band_Sort,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Charge_Tier,Charge_Tier_Sort,TotalCharges,Annual_Value,Churn,Churn_Flag,Churn_Risk_Score,Risk_Category,Revenue_At_Risk
CUST0000,Male,No,No,Yes,23,13-24 Months,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,49.85,Medium (£35-65),2,1146.55,598.2,No,0,,Low Risk,0.0
CUST0001,Female,No,Yes,No,43,25-48 Months,3,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,100.7,Premium (£85+),4,4330.1,1208.4,Yes,1,49.5,Medium Risk,0.0
CUST0002,Male,Yes,No,No,51,49+ Months,4,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,97.33,Premium (£85+),4,4963.83,1167.96,No,0,29.5,Low Risk,0.0
CUST0003,Male,Yes,No,No,72,49+ Months,4,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card,101.38,Premium (£85+),4,7299.36,1216.56,No,0,,Low Risk,0.0
CUST0004,Male,Yes,No,No,25,25-48 Months,3,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,52.22,Medium (£35-65),2,1305.5,626.64,No,0,61.1,Medium Risk,0.0
CUST0005,Female,No,Yes,No,35,25-48 Months,3,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,No,Credit card,116.96,Premium (£85+),4,4093.6,1403.52,No,0,,Low Risk,0.0
CUST0006,Male,No,Yes,No,17,13-24 Months,2,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer,91.53,Premium (£85+),4,1556.01,1098.36,No,0,,Low Risk,0.0
CUST0007,Male,No,Yes,Yes,18,13-24 Months,2,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Mailed check,26.52,Low (< £35),1,477.36,318.24,No,0,21.1,Low Risk,0.0
CUST0008,Male,No,No,No,27,25-48 Months,3,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,67.77,High (£65-85),3,1829.79,813.24,No,0,10.5,Low Risk,0.0
CUST0009,Female,No,No,No,15,13-24 Months,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,86.45,Premium (£85+),4,1296.75,1037.4,No,0,26.3,Low Risk,0.0
CUST0010,Male,Yes,Yes,No,69,49+ Months,4,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,36.87,Medium (£35-65),2,2544.03,442.44,No,0,71.6,High Risk,36.87
CUST0011,Male,No,Yes,No,15,13-24 Months,2,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer,110.18,Premium (£85+),4,1652.7,1322.16,Yes,1,,Low Risk,0.0
CUST0012,Male,No,No,Yes,42,25-48 Months,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,95.41,Premium (£85+),4,4007.22,1144.92,No,0,5.3,Low Risk,0.0
CUST0013,Male,No,No,No,34,25-48 Months,3,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Credit card,28.14,Low (< £35),1,956.76,337.68,No,0,,Low Risk,0.0
